Epoch,Train_Loss,Val_Loss,Val_RMSE,Val_Pearson,Val_R2
1,0.18413482770127684,0.16510985791683197,872.567859555316,0.7809076177873289,0.6025866216355023
2,0.0911682183413129,0.1381577104330063,720.4551664074606,0.8550282622705787,0.7290694497587463
3,0.06899335827482374,0.14923983812332153,771.7986250235839,0.8621412436047496,0.6890775651780768
4,0.05813597817660162,0.13910621404647827,760.3215932736881,0.8594287297357599,0.6982559547190194
5,0.05008664147830323,0.15116988122463226,730.0427187684592,0.8603134911232687,0.7218105816135756
6,0.04512755357611336,0.14412398636341095,748.5053841974857,0.8444576970022826,0.7075619251071239
7,0.04100895131889142,0.14417105913162231,721.1953965616267,0.8554624271321698,0.7285124296965328
8,0.03821355752941025,0.14366528391838074,710.7400332474083,0.8607612236031942,0.7363270273474363
9,0.03516219022046579,0.13955630362033844,734.9111005416345,0.8500659314858894,0.7180879280572119
10,0.03361628434963917,0.13996663689613342,754.0372787471595,0.8388553876799104,0.7032233735380065
11,0.033134166803210977,0.15216870605945587,839.6512080070784,0.8186040839068003,0.6320050209184743
12,0.03187716779740233,0.14346545934677124,785.3397709468643,0.8279314448260722,0.6780716365838624
13,0.031290138806951674,0.14524105191230774,772.4854783231048,0.8305684480926767,0.6885239152489074
14,0.029859450792795734,0.1503019630908966,811.4871813921826,0.8104847263808318,0.6562779551950131
15,0.030056847543700745,0.1409561187028885,745.0345868295432,0.8468021242935005,0.7102676906901617
16,0.02907246651716138,0.15257474780082703,758.0834103726714,0.8385998009040487,0.7000298470604485
17,0.029048670063677586,0.15492486953735352,845.4081892046822,0.7928986782871784,0.626941482796163
18,0.028531952829737414,0.13979262113571167,768.680614456115,0.8336793069950088,0.6915846988606194
19,0.02768530633398577,0.14196614921092987,802.3765189477198,0.8262958493117445,0.6639526456564617
20,0.027810761901108844,0.14302858710289001,784.2922025223747,0.8270626139839926,0.6789299073007944
21,0.027825536490663102,0.13781434297561646,735.3322483427754,0.8474131875892646,0.7177647306858714
22,0.026386865752896196,0.13833823800086975,702.593421464074,0.863068706005466,0.7423369062218366
23,0.02590660265107688,0.15644636750221252,810.2173235595535,0.812828529857252,0.6573528621778291
24,0.026453712273781238,0.15171068906784058,798.3756446719101,0.8214438749021187,0.6672955431582024
25,0.02625249018402476,0.15437516570091248,797.1500808081884,0.8298553808630591,0.6683162095554048
26,0.025024688471794912,0.14471372961997986,748.974585087451,0.8432344414592768,0.7071951803550911
27,0.02560369959101081,0.14421959221363068,782.958141120519,0.8279558985772838,0.6800212427230937
28,0.02559690648983968,0.1492231786251068,796.718614087389,0.8213885979669635,0.668675167776038
29,0.025141550465732028,0.14777317643165588,826.5201723960715,0.80956795701261,0.6434249316331557
