Epoch,Phase,Train_Loss,Val_RMSE,Val_Pearson
1,Phase1,0.10308778552072388,6496.5068359375,0.03532319223137741
2,Phase1,0.024476330993430957,6496.5068359375,0.03532317803311096
3,Phase1,0.023602817739759172,6496.49853515625,0.035323281902783464
4,Phase1,0.023272816091775894,6496.474609375,0.03532344493229137
5,Phase1,0.024002506796802794,6496.42626953125,0.03532397356699202
6,Phase1,0.023113720917275975,6496.361328125,0.03532454567653938
7,Phase1,0.024545984608786448,6496.19482421875,0.03532610732757828
8,Phase1,0.02441860150013651,6496.00439453125,0.03532785118294454
9,Phase1,0.023336913968835558,6495.78662109375,0.035329734058498236
10,Phase1,0.02383831569126674,6495.55029296875,0.035331892570421096
11,Phase1,0.023991349818451062,6495.099609375,0.035335713229081925
12,Phase1,0.023979087493249347,6494.43017578125,0.03534225909158726
13,Phase1,0.02412791071193559,6493.69091796875,0.03534994060010953
14,Phase1,0.02284884133509227,6492.91650390625,0.035357948922388575
15,Phase1,0.02337879261800221,6492.10595703125,0.035365850397937305
16,Phase1,0.023540784737893512,6491.23046875,0.03537450276873458
17,Phase1,0.022760147228837013,6490.310546875,0.035383837656862975
18,Phase1,0.02413339593580791,6489.3662109375,0.035393634489811664
19,Phase1,0.024129434887851988,6488.3876953125,0.03540384420858115
20,Phase1,0.025032240099140575,6487.35693359375,0.0354138563336138
21,Phase2,0.02352198213338852,6487.34228515625,0.03541392068344088
22,Phase2,0.023811815838728632,6487.28271484375,0.0354145251533395
23,Phase2,0.02462631171303136,6487.09033203125,0.035416380388322836
24,Phase2,0.024054932008896555,6486.8505859375,0.035418574646946456
25,Phase2,0.024213831339563643,6486.14892578125,0.035424909515011344
26,Phase2,0.02317593220089163,6485.3662109375,0.03543196585621107
27,Phase2,0.023500765540770123,6484.44677734375,0.03544059152912014
28,Phase2,0.022896670337234224,6483.45263671875,0.035450275759273835
29,Phase2,0.024589223521096364,6482.33056640625,0.035461174451142496
30,Phase2,0.02360365300306252,6481.1328125,0.0354721941358656
31,Phase2,0.023796903767756054,6479.81005859375,0.03548484948988309
32,Phase2,0.022308562217014178,6478.1044921875,0.03550188123898474
33,Phase2,0.024319945701531002,6476.22119140625,0.03552037170277519
34,Phase2,0.023403063150388852,6474.21044921875,0.035539533431491924
35,Phase2,0.02398844967995371,6472.09375,0.035561313082081686
36,Phase2,0.023731591712151254,6469.8544921875,0.035583944194814504
37,Phase2,0.023615188896656036,6467.478515625,0.03560716916382526
38,Phase2,0.022675230034760067,6464.82763671875,0.035635511308290437
39,Phase2,0.02350212979529585,6461.8955078125,0.03566674343787343
40,Phase2,0.02361971592264516,6458.81982421875,0.03570030279710107
41,Phase2,0.023955370964748517,6455.56494140625,0.03573449373536872
42,Phase2,0.022496561386755536,6452.14794921875,0.035769830189960494
43,Phase2,0.02380306353526456,6448.5146484375,0.03580653613325033
44,Phase2,0.022702004494411603,6444.59814453125,0.03584173047300949
