Epoch,Train_Loss,Val_Loss,Val_CCC_Loss,Val_RMSE,Val_Pearson,Val_R2
1,0.2087290201589699,0.14077408167067915,0.140422984957695,862.5385206593214,0.8200057143670256,0.6613918436790154
2,0.08800096934690525,0.12738063994329424,0.12706123292446136,811.8127859924282,0.8451704500186301,0.7000477043225173
3,0.07646449902996967,0.13550277901813387,0.13515961170196533,893.8426982639274,0.8540658256518139,0.636367568952624
4,0.06770916454767058,0.12274397350847721,0.1224098801612854,793.9531278333108,0.8454326105217465,0.7131002671605462
5,0.06307519396952309,0.13368580576498063,0.13332206010818481,791.3952025345995,0.8510330540651699,0.714945932568843
6,0.059275791848673244,0.1267361713806167,0.12639884650707245,832.0302536127842,0.8294481924376869,0.6849215850982464
7,0.0542031435091146,0.13339859019033612,0.1330622136592865,874.2463964711459,0.8222214526221036,0.6521370964429652
8,0.048885045924189824,0.12505228905938565,0.12473403662443161,792.0534842897171,0.8484853299475588,0.714471519954146
9,0.045827320420929275,0.12461271760985256,0.12428998947143555,786.927201653182,0.8484712430104318,0.7181555213058282
10,0.04184207108593424,0.13753118629101663,0.13714444637298584,859.4576397920852,0.8159028217459517,0.6638064564861111
11,0.03789590616071724,0.13710977472364902,0.1367196887731552,900.3725994710477,0.7963517581581778,0.6310351829243813
12,0.03418514519656828,0.12762699131853877,0.12727566063404083,806.6186507820208,0.8425583090703894,0.7038737308095452
13,0.032670400471119354,0.134554765955545,0.13416673243045807,878.2512694915301,0.8127254212651833,0.6489427161723345
14,0.030478109805527783,0.13148313658311964,0.1311386525630951,848.3800995337801,0.8246894738829994,0.6724169959024473
15,0.02840263042501442,0.13649935773573815,0.13610510528087616,875.818775961925,0.8096993621394366,0.6508846706344213
16,0.02652394989047063,0.12896905194502323,0.12861457467079163,847.1087448816791,0.8220727307317117,0.6733980705861938
17,0.026355125897451846,0.13744370066560804,0.13707110285758972,878.329323122657,0.8259083382045969,0.6488803137271153
18,0.024663412416870683,0.1337066549807787,0.13333195447921753,901.9272030529988,0.7990339717924384,0.6297599570528907
19,0.023434299497782248,0.13415374669712038,0.1338047832250595,868.8679834224273,0.8118072332300691,0.6564040749313013
20,0.02251157640474629,0.13500373668503016,0.13462784886360168,879.1663199504533,0.8081334372083108,0.64821080154297
21,0.02179587141888616,0.134875344671309,0.13451875746250153,854.5321054759671,0.818240473592119,0.6676488512714407
22,0.021120093694610122,0.13850473102647812,0.13812381029129028,873.2669827620336,0.8105124680112649,0.6529160778716263
23,0.02026076308154155,0.1334714073687792,0.13311097025871277,872.328461015844,0.8096664291887427,0.6536617164255523
24,0.02054422607167541,0.1332853510277346,0.1329028457403183,869.4052004233182,0.8155523649240671,0.6559790560789469
25,0.019774710671751912,0.13860284280963242,0.13821159303188324,904.677717366996,0.795158537074926,0.6274983481036092
26,0.019281693675716197,0.13457830231636764,0.1342092752456665,867.4638858735442,0.8136269054309265,0.6575136851141732
27,0.019257602896248796,0.13698339592665434,0.13660505414009094,884.3747793217673,0.8059093739333107,0.6440302336387465
28,0.019055720603980943,0.1341880282154307,0.1338273286819458,875.7163751080446,0.8073389334624,0.6509663030882588
29,0.018598145346952047,0.12901031936053187,0.12867289781570435,830.9547599895341,0.828158310701449,0.685735607939215
30,0.01800338669402125,0.13566424925811588,0.13529163599014282,914.3568374537372,0.7920709751771007,0.61948494032879
31,0.01801147389942439,0.13639887268655002,0.1360064148902893,890.2854462462402,0.8109874083659746,0.6392561269674076
32,0.017523782235126534,0.12976859943009914,0.12942440807819366,854.4906414774899,0.8204076322494914,0.6676811034784719
33,0.017306125166957603,0.14208975839428603,0.14168399572372437,909.3515045256476,0.801963793734945,0.6236395360572187
34,0.017307707352358946,0.14025684311054648,0.13985969126224518,911.4796182842372,0.7912719231197234,0.621875916430108
