Epoch,Phase,Train_Loss,Train_MSE,Train_L1,Temperature,LR_Backbone,LR_WeightNet,Val_RMSE,Val_MAE,Val_MAPE,Val_Pearson_R
1,Phase1,0.20512072795203753,0.2051187264067786,0.2000000008514949,5.0,9.997557473810373e-05,2.4671981713414196e-10,5477.805,3852.7383,56.848896,0.05500444271032518
2,Phase1,0.042736289756638665,0.04273428927574839,0.2000000008514949,4.951,9.866357858640199e-10,7.400985657127948e-10,5477.774,3852.7063,56.84837,0.05500504266697518
3,Phase1,0.04081631877592632,0.040814318295036046,0.2000000008514949,4.902,1.9727846063831556e-09,1.2335990255398409e-09,5477.1973,3852.1248,56.838753,0.055014657337619274
4,Phase1,0.040933993245874135,0.04093199276498386,0.20000000298023224,4.853,2.958932946029405e-09,1.7274649195309358e-09,5476.25,3851.1934,56.82332,0.055029545630246555
5,Phase1,0.04222798666783741,0.04222598618694714,0.2000000008514949,4.804,3.945567287612888e-09,2.2219406926818646e-09,5474.73,3849.677,56.797916,0.05505342648663816
6,Phase1,0.040098908224276135,0.04009690774338586,0.2000000008514949,4.755,4.933175072351339e-09,2.7172719968926244e-09,5472.8364,3847.7642,56.765343,0.05508342121780714
7,Phase1,0.04294462927750179,0.042942628796611516,0.2000000008514949,4.706,5.922245663958562e-09,3.213706180877517e-09,5470.371,3845.3147,56.724663,0.05512186213380583
8,Phase1,0.042915785419089456,0.042913785470383506,0.2000000008514949,4.657,6.9132713208038365e-09,3.711492787237117e-09,5467.499,3842.472,56.67709,0.05516592974395364
9,Phase1,0.04064799818609442,0.04064599770520415,0.2000000008514949,4.608,7.90674818026013e-09,4.210884058835107e-09,5464.134,3839.1597,56.622494,0.05521463715258992
10,Phase1,0.04175649689776557,0.04175449641687529,0.2000000008514949,4.559,8.90317725944028e-09,4.712135456682693e-09,5460.338,3835.435,56.560127,0.05527014888842936
11,Phase1,0.04158866724797657,0.0415866667670863,0.2000000008514949,4.51,9.903065476647572e-09,5.215506191614834e-09,5456.0293,3831.2449,56.49179,0.05533353873525492
12,Phase1,0.04091113592897143,0.040909135448081155,0.2000000008514949,4.461,1.0906926698007985e-08,5.7212597721585586e-09,5451.241,3826.5344,56.415146,0.05540739031148392
13,Phase1,0.041254526270287376,0.0412525257893971,0.2000000008514949,4.412,1.1915282813948901e-08,6.229664571095099e-09,5445.968,3821.3284,56.333374,0.05548985768768233
14,Phase1,0.03912789800337383,0.039125897522483556,0.2000000008514949,4.3629999999999995,1.292866485040003e-08,6.740994413375926e-09,5440.24,3815.618,56.242764,0.05558143647867873
15,Phase1,0.040495025526200025,0.04049302504530975,0.2000000008514949,4.314,1.3947614119858249e-08,7.255529188206123e-09,5434.0757,3809.6428,56.147682,0.055675107948639946
16,Phase1,0.040630439562456946,0.04062843908156667,0.2000000008514949,4.265,1.497268341775874e-08,7.773555488294008e-09,5427.466,3803.2083,56.041397,0.05578270299006593
17,Phase1,0.039089733468634744,0.03908773298774447,0.2000000008514949,4.216,1.600443826993875e-08,8.295367279487643e-09,5420.48,3796.447,55.931313,0.055899934879727144
18,Phase1,0.04172699259860175,0.041724992117711475,0.2000000008514949,4.167,1.7043458237381933e-08,8.821266604246923e-09,5413.1426,3789.197,55.806587,0.05603466505793091
19,Phase1,0.04185152426362038,0.0418495237827301,0.2000000008514949,4.118,1.8090338284873043e-08,9.35156432268326e-09,5405.3403,3781.3923,55.673016,0.05618031207608072
20,Phase1,0.043544063078505654,0.043542063129799705,0.2000000008514949,4.069,1.9145690220710626e-08,9.886580895200243e-09,5396.9937,3773.2207,55.535828,0.05632368701985976
21,Phase2,0.040141110707606585,0.04013911022671631,0.2000000008514949,4.02,1.1404996911521934e-08,2.0210144215195695e-08,5396.1367,3772.3945,55.52246,0.05633759582402032
22,Phase2,0.04050310541476522,0.040501104933874946,0.2000000008514949,3.971,1.2970945106159992e-08,3.09605018493684e-08,5394.389,3770.691,55.49441,0.0563676442421795
23,Phase2,0.04233782206262861,0.042335821581738334,0.2000000008514949,3.9219999999999997,1.458368354570334e-08,4.21270444926397e-08,5391.6714,3768.02,55.450832,0.05641320218603247
24,Phase2,0.041466343881828446,0.04146434340093817,0.20000000298023224,3.8729999999999998,1.6242441140850626e-08,5.3698752115573977e-08,5387.9463,3764.3655,55.390503,0.056473937721013334
25,Phase2,0.04189663593258176,0.04189463545169149,0.2000000008514949,3.824,1.794641969236643e-08,6.566420483981646e-08,5383.101,3759.6304,55.313534,0.05655306151087737
26,Phase2,0.04001375340989658,0.04001175292900631,0.2000000008514949,3.775,1.969479604380237e-08,7.80115942081348e-08,5377.2026,3753.8315,55.218178,0.05665003715508829
27,Phase2,0.040151123489652364,0.04014912300876209,0.2000000008514949,3.726,2.148672434669677e-08,9.072873483794109e-08,5370.242,3746.9421,55.1036,0.05676981240819308
