run_name,started_at,finished_at,duration_seconds,platform,python_device,dataset_dir,save_dir,train_samples,val_samples,test_samples,epochs_planned,epochs_completed,best_epoch,best_val_ccc_loss,best_val_pure_ccc,final_test_ccc_loss,final_test_rmse,final_test_mae,final_test_mape,final_test_pearson_r,final_test_r2,peak_threshold,best_train_loss,best_val_rmse,best_val_pearson,last_learning_rate,training_log_csv,best_model_path,model_model_type,model_d_model,model_nhead,model_num_encoder_layers,model_num_decoder_layers,model_dim_feedforward,model_dropout,model_moving_avg_kernel,model_autocorrelation_factor,model_weight_net_hidden_dim,model_weight_net_num_heads,model_weight_net_num_layers,model_weight_net_dropout,model_temperature_init,model_temperature_trainable,model_seq_len,model_label_len,model_output_dim,model_pred_len,model_ablation_mode,model_activation,model_max_seq_length,model_positional_encoding_type,model_weight_l1_lambda,model_layer_norm_eps,model_stage1_epochs,model_stage2_epochs,model_stage3_epochs,model_input_embedding_type,model_save_attention_weights,model_save_dynamic_weights,model_dataset_dir,model_loaded_from_dataset,train_scenic_name,train_data_dir,train_save_dir,train_batch_size,train_num_epochs,train_learning_rate,train_weight_decay,train_phase_1_epochs,train_phase_2_epochs,train_temp_start,train_temp_end,train_temp_schedule,train_loss_weight_mse,train_loss_weight_pearson,train_use_adaptive_weight,train_peak_sigma,train_peak_penalty_weight,train_loss_weight_peak_mse,train_l1_lambda,train_diversity_lambda,train_use_diversity_loss,train_optimizer,train_betas,train_eps,train_scheduler,train_lr_min,train_lr_step_size,train_lr_gamma,train_lr_patience,train_lr_factor,train_early_stop,train_patience,train_min_delta,train_grad_clip,train_max_grad_norm,train_device,train_num_workers,train_pin_memory,train_seed,train_run_name,train_experiment_log_csv
eedscy_run_20260411_123938,2026-04-11 12:39:40,2026-04-11 13:38:58,3558.52,Windows-11-10.0.26200-SP0,cuda,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto,12197,3485,1743,150,103,73,0.1112763427197933,0.1110011264681816,0.1171223521232605,1701.2852509878835,1001.864391631284,39.69534962561058,0.8278336858581266,0.6453461144873079,0.8382201194763184,0.0205217609962165,736.7504773590356,0.8678688454304923,0.0004289937265573,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\training_log.csv,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\best_model_unified.pth,autoformer,64,1,3,3,128,0.1,13,2,128,4,2,0.1,1.0,True,96,24,1,24,full,relu,5000,sinusoidal,0.001,1e-05,10,10,20,linear,True,True,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,True,eedscy,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto,64,150,0.00192077,1.1e-06,1,1,2.0,0.8,linear,1.0,1,True,2.0,8.0,0.05,1e-05,1e-05,False,adamw,"(0.9, 0.999)",1e-08,cosine,1e-07,20,0.5,5,0.5,True,30,0.0001,True,0.5,cuda,0,True,42,eedscy_run_20260411_123938,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\experiment_results.csv
eedscy_run_20260411_134457,2026-04-11 13:44:59,2026-04-11 14:32:26,2847.67,Windows-11-10.0.26200-SP0,cuda,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto,12197,3485,1743,150,81,51,0.1106261799810454,0.1103576570749282,0.1272432655096054,1592.2270978020747,943.7924671516143,37.43256526229038,0.8421805069290439,0.6893577880801355,0.8382201194763184,0.0293052682155714,743.2171788063728,0.8657146552906889,0.000840073109145,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\training_log.csv,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\best_model_unified.pth,autoformer,64,1,3,3,128,0.1,13,2,128,4,2,0.1,1.0,True,96,24,1,24,full,relu,5000,sinusoidal,0.001,1e-05,10,10,20,linear,True,True,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,True,eedscy,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto,64,150,0.00192077,1.1e-06,1,1,2.0,0.8,linear,1.0,1,True,2.0,8.0,0.05,1e-05,1e-05,False,adamw,"(0.9, 0.999)",1e-08,cosine,1e-07,20,0.5,5,0.5,True,30,0.0001,True,0.5,cuda,0,True,42,eedscy_run_20260411_134457,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\experiment_results.csv
eedscy_run_20260411_204156,2026-04-11 20:41:58,2026-04-11 21:03:55,1317.03,Windows-11-10.0.26200-SP0,cuda,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto,12197,3485,1743,150,39,9,0.11541352486237884,0.11513011157512665,0.10584285110235214,1542.2262327187116,912.3563641657562,41.11844985694465,0.8545720921352725,0.7085617030570001,0.8382201194763184,0.05957469435808546,751.1655500313778,0.8733732481259167,0.0016178295449720272,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\training_log.csv,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\best_model_unified.pth,autoformer,64,1,3,3,128,0.1,13,2,128,4,2,0.1,1.0,True,96,24,1,24,full,relu,5000,sinusoidal,0.001,1e-05,10,10,20,linear,True,True,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,True,eedscy,E:\2024liushaoxuan\learn\shiyan1\data\output\dataset\eedscy\m8b_eedscy_hourly_4day_721,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto,64,150,0.00192077,1.1e-06,1,1,2.0,0.8,linear,1.0,1,True,2.0,8.0,0.05,1e-05,1e-05,False,adamw,"(0.9, 0.999)",1e-08,cosine,1e-07,20,0.5,5,0.5,True,30,0.0001,True,0.5,cuda,0,True,42,eedscy_run_20260411_204156,E:\2024liushaoxuan\learn\shiyan1\data\output\h_out_eedscy\m10_checkpoints_eedscy_auto\experiment_results.csv
