Epoch,Train_Loss,Val_Loss,Val_RMSE,Val_Pearson
1,0.6471291511289535,0.6021665334701538,4977.570214072839,0.3700203170034817
2,0.36618305646604105,0.5771358013153076,4568.0144556206715,0.36669022516810257
3,0.3092438785299178,0.6371461749076843,5510.704972411184,0.34752656818218297
4,0.26608514689630075,0.5054023861885071,5259.636820096565,0.3792023787987205
5,0.23840616499224015,0.5797249674797058,5625.254609791666,0.3650141453285616
6,0.21360191462501402,0.4909721612930298,4986.6865432849645,0.3802613869063668
7,0.20787343046357554,0.45004329085350037,4708.7638648828415,0.391781194016629
8,0.18846374125249923,0.4673875570297241,4727.004203365842,0.3870438316950115
9,0.19119763158021436,0.5071277618408203,5940.220598675408,0.35219063886052276
10,0.17005551870792143,0.4640215039253235,5538.436774815017,0.37459511632740616
11,0.15816017240285873,0.5236933827400208,4219.313929698274,0.39838550589673216
12,0.1492605562652311,0.44601258635520935,4066.2899452641395,0.38104366254601496
13,0.13246052207485323,0.44490155577659607,4583.814156689613,0.376655719049902
14,0.14467591431833082,0.4341695308685303,3998.108017041133,0.3858715540960072
15,0.13009219039832393,0.43765726685523987,4266.550813528364,0.3653679567833034
16,0.1275328662126295,0.5220276713371277,4251.751828496562,0.3767614055282115
17,0.11484682463830517,0.4348819851875305,4117.93277580777,0.37086166211452853
18,0.12796918903627702,0.4487704634666443,4083.4138315595083,0.35976565153804285
19,0.11538958813874953,0.4776701331138611,3963.268203583096,0.36557595323818987
20,0.1112027925349051,0.503541111946106,4101.37139292038,0.39301218998477955
21,0.09965533642999587,0.4755791425704956,4025.961128036152,0.38771106593247795
22,0.10820559880906536,0.43494662642478943,3841.8163569467188,0.40109159188392757
23,0.11078623465953334,0.4791470468044281,4113.574018709033,0.35998776235743146
24,0.09916764389603369,0.5034651756286621,4096.3727945435185,0.3696217096245847
25,0.08934743822582307,0.49883633852005005,4085.628099167977,0.3651006447130122
26,0.0990614609852914,0.5120270848274231,4085.1569816299184,0.39864041986846
27,0.09597163887754563,0.5209957361221313,4098.666341830172,0.40552203561226224
28,0.09093921944018334,0.4459899067878723,3990.104027423835,0.3751236897903884
29,0.09258182046394195,0.46073827147483826,3839.4703714074335,0.38594344132022523
30,0.08082089597179044,0.45409709215164185,3965.3580292835495,0.38016033754450296
31,0.08501290962580711,0.4347364008426666,4039.066828821779,0.37925599861477693
32,0.09189830780509979,0.43277066946029663,3936.62544613135,0.3833540416282525
33,0.08196717368498925,0.43768826127052307,3924.69024311543,0.3873660657841974
34,0.08204637792321944,0.4458884596824646,4015.025329218867,0.3716210268364151
35,0.08036210964764318,0.4581722021102905,3893.5109448978474,0.41190175762679454
36,0.08107305594509648,0.44670405983924866,3924.313709401696,0.39574737397957244
37,0.0772419975649926,0.4688483774662018,4072.7313503080536,0.38132263994547866
38,0.07955573054571305,0.4494897723197937,4067.4816882557866,0.3781069337160838
39,0.07805813127948392,0.4754219949245453,4073.1870861496695,0.37919297222542253
