Epoch,Train_Loss,Val_Loss,Val_CCC_Loss,Val_RMSE,Val_Pearson,Val_R2
1,0.37785711588035703,0.20719032073393465,0.20654019713401794,2487.6626796729256,0.7451866072654122,-1.8165884729274029
2,0.1752582647647533,0.21466560680419206,0.21406292915344238,2060.217372291743,0.7837909409021189,-0.9318193228091824
3,0.122599561450057,0.1575105553958565,0.1570650339126587,1364.0915953867193,0.7868452686758707,0.15310906927868928
4,0.09402843709079382,0.19274312341585756,0.19221030175685883,1889.529272302411,0.8325960480295107,-0.6249786694877362
5,0.08393661209738067,0.16391954706050454,0.16348175704479218,1483.5774448952445,0.8606477348697457,-0.0017534803497800677
6,0.07669944366859516,0.19069443196058272,0.1901305764913559,1818.131621906162,0.8285800944729095,-0.5044960663864355
7,0.06987379382106022,0.12466779490932822,0.12434931099414825,819.2201859775406,0.8609991619998171,0.6945488912967999
8,0.06708237103610763,0.12905785583425314,0.12874022126197815,814.1989507006267,0.8487300008149247,0.6982818108141919
9,0.06303478071358816,0.11832770162727684,0.118035227060318,756.1855588698006,0.8790518348603611,0.7397461431181551
10,0.061274069824611956,0.1217029934283346,0.12139194458723068,727.2680302982884,0.8761645770861208,0.7592704467469082
11,0.05686469140087123,0.14544407427310943,0.14508052170276642,1327.4082876826176,0.8703309358682015,0.1980459859222402
12,0.05463067795203618,0.14725580296944826,0.1468682438135147,1218.4190360272055,0.8604174118167118,0.3243313526760421
13,0.054431107041489395,0.12030418580397964,0.12000741809606552,753.8643640718537,0.8711359552333856,0.7413414465885847
14,0.05109125397202232,0.1269519027788192,0.1266581416130066,865.9020249415707,0.8585857652536448,0.6587458619181592
15,0.05007969809413268,0.11889068929012865,0.11859824508428574,888.3116935740109,0.8697727200876039,0.6408538839950803
16,0.047394706433668186,0.1255878158379346,0.12528370320796967,881.853350178137,0.8650140900435954,0.6460571413798213
17,0.046335661052409265,0.12073044891003519,0.12043966352939606,909.9862793681497,0.8600362720814806,0.6231139141457305
18,0.04594393999983815,0.13401439944282173,0.13367655873298645,1128.9076465839828,0.8475333736580142,0.4199609330139177
19,0.04445580326761875,0.12901814393699168,0.12869001924991608,1118.7983010644848,0.86267797573317,0.4303028953272311
20,0.044532362752013804,0.13083636187948286,0.13052546977996826,1120.884581906045,0.8641745524079782,0.4281762272274794
21,0.045531017071913676,0.1370106840506196,0.13669410347938538,955.8271125232565,0.8549274532326523,0.5841860008679371
22,0.04154871985394293,0.1161402213620022,0.1158653199672699,773.2521578021433,0.8598066506787174,0.7278660677902242
23,0.04214583778100488,0.1213789772707969,0.12109403312206268,868.2412137175165,0.8604932389900909,0.6568996112978374
24,0.04028312685406957,0.1169153262861073,0.11663278937339783,796.2463695224001,0.8625755364458717,0.7114405202994982
25,0.03982445865830514,0.1418290673289448,0.14147546887397766,1087.6286693161187,0.8507815406617031,0.46160414269546224
26,0.04207176438176819,0.1323740676511079,0.1320556402206421,1044.9866552782191,0.8530434595103737,0.5029936875171919
27,0.04242309578816304,0.12424834747798741,0.12393613904714584,809.3038328537201,0.8533608338965175,0.7018988782445621
28,0.0382112897444926,0.12888392882887273,0.12858526408672333,900.0633119821622,0.846210837866365,0.631288626002875
29,0.03996526802943639,0.11845238953828811,0.11816879361867905,838.7274942840039,0.8568879311938877,0.6798288650222221
30,0.03830680370096761,0.11804044272284955,0.11774715781211853,769.6294742939855,0.8559349757777815,0.7304099876086922
31,0.037561153700448456,0.12246283893473446,0.12216561287641525,855.3801772711038,0.8568484297922977,0.6669888468154377
32,0.035621982448154094,0.12965430249460042,0.12935084104537964,910.4159909457151,0.8520735278410084,0.6227578855845138
33,0.03693263671551075,0.12489141230471432,0.12460152804851532,835.0599413950196,0.8526715747025991,0.6826228052113805
34,0.03502880948649339,0.1275506960693747,0.1272449493408203,898.1986805883428,0.8560786492111746,0.6328147378827271
35,0.03428340562819186,0.11725783804431558,0.11697622388601303,788.1767206974289,0.8551330490062334,0.717259759566332
36,0.03318997319417162,0.1166672135470435,0.11639150977134705,790.7106822845918,0.8605527092787179,0.7154388364775522
37,0.034209936213586964,0.11960437258239835,0.1193092092871666,772.1949894380364,0.8570778856166099,0.728609666677835
38,0.03394234285772783,0.12040285614784807,0.12010824680328369,814.1721024421187,0.8646215525752771,0.6983017088363496
39,0.0332470773694871,0.11607038851361721,0.11579173803329468,760.0401715075798,0.864487007826612,0.7370861224004472
40,0.03370262594669277,0.12668022271245719,0.12638120353221893,806.1060212553034,0.850548099866659,0.7042500048554078
41,0.033017484832028446,0.11810521329753101,0.1178116425871849,784.6781228571447,0.8586046087605813,0.719764271374671
42,0.03323057632288696,0.11936973328702152,0.11907496303319931,777.1207719056987,0.8533209873294845,0.7251362604111167
43,0.03310406642005394,0.11924315472133458,0.11894630640745163,781.4914873668042,0.8517511459183026,0.7220357653917177
44,0.034403761175914586,0.12882020573597402,0.12851515412330627,839.1261472899872,0.8436741326269064,0.6795244335598494
45,0.03246819393719054,0.12162795676849783,0.12132899463176727,775.4567561644178,0.8552581249984054,0.7263121082954765
46,0.030400716587511034,0.1203272077254951,0.12003996223211288,773.011720841393,0.8606889055268788,0.7280352774904997
47,0.02933964448254458,0.12913460051640868,0.12881110608577728,874.28178998767,0.8350379399333769,0.6521089296911207
48,0.029346276006383423,0.1233026148751378,0.12297528237104416,788.6948815674017,0.8575244186709752,0.7168878808174799
49,0.0315935443794228,0.12049103928729891,0.12018793821334839,787.8310392714433,0.8479050923118172,0.717507715675096
50,0.02773745938238361,0.12190961479209364,0.12161590158939362,794.9393919017391,0.8561298046910459,0.7123870395496263
51,0.028176751134049206,0.1171025610761717,0.11682309955358505,781.6789982911905,0.8613568914614086,0.7219023600138943
52,0.027676440921675472,0.1158755392767489,0.11559077352285385,752.7719110125291,0.862401782517597,0.7420905669831408
