Epoch,Train_Loss,Val_Loss,Val_RMSE,Val_Pearson
1,0.4840784082489629,0.6614503860473633,21580.39157515818,0.380825646776693
2,0.19194555306626904,0.7292977571487427,23867.09055083749,0.3986968926085476
3,0.14343340406494756,0.8011281490325928,12157.380811155053,0.3827833702806298
4,0.13394567346380604,0.7571077942848206,14170.417580791287,0.4147705504767687
5,0.11464068966527138,0.7594133019447327,16223.353997524033,0.417458671164378
6,0.09807234521835081,0.6783354878425598,13271.290942966734,0.4905820718722733
7,0.08998095111981515,0.7032378315925598,26623.740923241683,0.4069679739351643
8,0.08156957477331161,0.6866599917411804,13825.763773932362,0.4099882274747051
9,0.06958240763314309,0.7273455262184143,23986.102245880575,0.41688776471528444
10,0.0651913366370624,0.6778457164764404,14931.368863513271,0.39619478613751
11,0.06397740440743585,0.7004473805427551,17927.44807739451,0.3953730295562504
12,0.06778143598668036,0.6865208745002747,10760.840005725451,0.37304852117287884
13,0.06845768769421885,0.7108064293861389,21474.916827224635,0.40885180647097996
14,0.05509117540092238,0.7109524607658386,20836.16986230088,0.38774560015497034
15,0.05201606530575983,0.7002803087234497,23049.300161938107,0.3693146757320994
16,0.050934651746384556,0.6351389288902283,8586.13256089159,0.34140479781991556
17,0.04563134692368969,0.6905253529548645,13155.893459936919,0.3753260187085247
18,0.042012610502781406,0.6168142557144165,12063.113544814913,0.3633230421068663
19,0.05220853987961046,0.5824407339096069,7614.828377004752,0.34580943089002397
20,0.04265674690325414,0.6069554090499878,7566.549438698364,0.3928840564589306
21,0.04105094585928225,0.6936719417572021,13868.197284815755,0.4142440783810464
22,0.04307398885007827,0.6639058589935303,15512.942690965077,0.4074250929190768
23,0.03977136974853854,0.6737992763519287,15367.39786673399,0.3629930424730655
24,0.0464757917028281,0.6152784824371338,10368.3176280184,0.38031851741716033
25,0.04138008336867056,0.6933324337005615,15832.566940212473,0.3661039667807186
26,0.037472101889791026,0.7217509150505066,18630.331110041145,0.3884401902612383
27,0.04171396515542461,0.6293967366218567,11538.61679332981,0.39018314030006995
28,0.032238658637769764,0.6510695219039917,12685.49791862768,0.3880780731637127
29,0.036143658622618646,0.6069827079772949,8638.876014093357,0.3955906550183939
30,0.03111498286166499,0.6401222944259644,11436.938222344397,0.39524818641434467
31,0.030441472667359536,0.6689654588699341,16343.7198224446,0.35953757983574636
32,0.03169004613113019,0.6290190815925598,10693.85206163285,0.3926683311997535
33,0.03235061154250176,0.618618369102478,8963.335983320065,0.38553204270440833
34,0.03137615365126441,0.6168789267539978,9131.269800066564,0.39650536605913544
35,0.02637373019129999,0.5852766036987305,9485.13274473664,0.3915775454676714
36,0.02440524912409244,0.6314050555229187,8908.215971500944,0.39893494275750163
37,0.026496589784660646,0.6176825761795044,9144.265974988693,0.37581376560820506
38,0.027126454958511938,0.6379151344299316,10412.624412302774,0.3621304965147631
39,0.025478648953139782,0.625813901424408,10886.393089835332,0.3749491262481613
40,0.0259369908261203,0.6260931491851807,10990.983382880017,0.40220423630366625
41,0.025511812719125903,0.6446021795272827,11142.7108855077,0.38104045890074395
42,0.024280665081835563,0.6159542798995972,9864.34059018849,0.39102693420548884
43,0.02842810846144153,0.585272490978241,11105.824083423116,0.38354760744191846
44,0.022547426573451487,0.5853015184402466,8951.969961681863,0.40653340314180003
45,0.024463121238495072,0.6146413683891296,8907.960956515899,0.3790859303387402
46,0.023659588528736945,0.6055092215538025,10187.576706973288,0.37318336416719766
47,0.02195635918648012,0.5997787714004517,9616.132515166279,0.37764375054671745
48,0.020379160080225237,0.5855607390403748,10197.931867834532,0.38439043971049613
49,0.022512853055471373,0.6325038075447083,9808.782014534012,0.3872573298418505
50,0.021765142589086486,0.5844920873641968,8606.645922510414,0.37826730754427507
51,0.0193604230279884,0.5868603587150574,7136.6462966717845,0.36740527206074364
52,0.02083540608685824,0.5913747549057007,7037.257907983432,0.40229270796287614
53,0.02066713466399139,0.5954302549362183,9705.213226124142,0.37950519206306205
54,0.02077048362022446,0.6405998468399048,8045.802073423267,0.399498020465268
55,0.02112912080220638,0.6501014232635498,9957.830675018997,0.36086456936949235
56,0.021145420148968697,0.6319815516471863,7594.10388358741,0.37226716521442704
57,0.019548330906658404,0.6006301045417786,7232.727736827723,0.37772295334054773
58,0.022053235480862278,0.5874536037445068,8931.882818907437,0.37205566553692926
59,0.022169397152479616,0.5673379302024841,7813.317401564132,0.37407859128689147
