Epoch,Phase,Train_Loss,Val_RMSE,Val_Pearson
1,Phase1,0.07992909534368664,6512.433596159651,0.2703264985491487
2,Phase1,0.01736418274231255,6512.433372597911,0.2703264676153428
3,Phase1,0.017635076656006277,6512.4202210540325,0.27032695358674036
4,Phase1,0.016864106175489724,6512.374196931135,0.2703287268056319
5,Phase1,0.017557692946866155,6512.2779993471795,0.2703320614004277
6,Phase1,0.01738909527193755,6512.1430284863845,0.2703369325359757
7,Phase1,0.017374325776472688,6511.8399767361125,0.27034818026987634
8,Phase1,0.01687161927111447,6511.470041688076,0.2703612248789489
9,Phase1,0.016955664730630815,6511.045060268556,0.2703762597135214
10,Phase1,0.01705583930015564,6510.577837182073,0.27039305460072016
11,Phase1,0.01720880949869752,6509.786272359309,0.2704221466131728
12,Phase1,0.017086717882193625,6508.591125317409,0.2704657940897281
13,Phase1,0.016825540689751506,6507.206673074319,0.270514756898215
14,Phase1,0.016941470210440457,6505.738787614875,0.27056565075689487
15,Phase1,0.016957283252850175,6504.192137628721,0.270619007905666
16,Phase1,0.017843727604486048,6502.497978837329,0.2706778702326037
17,Phase1,0.01728906389325857,6500.650729718432,0.27074116996356834
18,Phase1,0.01782580278813839,6498.79147207992,0.27080495828670986
19,Phase1,0.017071123933419585,6496.867424245958,0.2708712632983911
20,Phase1,0.0167764377547428,6494.847243267998,0.27094197227645117
21,Phase2,0.017060992075130343,6494.819307160149,0.2709429695593216
22,Phase2,0.016777338925749063,6494.704002629653,0.2709469696170298
23,Phase2,0.017538888147100806,6494.3368660285505,0.2709600125735951
24,Phase2,0.016970693017356098,6493.874465636718,0.27097600162412183
25,Phase2,0.016984764486551285,6492.54235692101,0.2710187120163542
26,Phase2,0.01733968174085021,6491.01800304663,0.27107219217400386
27,Phase2,0.017348535358905792,6489.202964104549,0.2711357607328559
28,Phase2,0.016864832490682602,6487.264542344604,0.2712028773613482
29,Phase2,0.017459427821449935,6485.062824930468,0.27127792760029246
30,Phase2,0.016907085315324366,6482.681793493392,0.2713610547828196
31,Phase2,0.017241000197827816,6480.032887473822,0.2714499190690572
32,Phase2,0.01707485457882285,6476.720484177,0.27156180589374485
33,Phase2,0.01688540820032358,6473.134725672174,0.27168557554048045
34,Phase2,0.017184533877298236,6469.250855493785,0.2718171982542495
35,Phase2,0.017634193412959576,6464.99368606609,0.27195740331334245
36,Phase2,0.01685181027278304,6460.656946965727,0.2721033427121418
37,Phase2,0.017222091322764754,6456.060130693742,0.2722639063201803
38,Phase2,0.017694860231131315,6450.951233828114,0.2724499607132383
39,Phase2,0.01727825333364308,6445.434530069103,0.2726453644383553
40,Phase2,0.01672907592728734,6439.665113089296,0.27284781043139505
41,Phase2,0.017266673152334988,6433.576404637501,0.27305944977451285
42,Phase2,0.016694554826244712,6427.2575008150525,0.2732861704150609
43,Phase2,0.016883991193026304,6420.828616630104,0.2735158966195815
44,Phase2,0.01673773571383208,6413.807623027796,0.27376736928788536
45,Phase2,0.016581910313107073,6406.42553481638,0.2740318734027644
46,Phase2,0.017200066708028316,6398.804223215193,0.2743035114322632
47,Phase2,0.01734456222038716,6390.830137092052,0.2745880959335037
48,Phase2,0.016615752247162163,6382.68230985473,0.2748745860703014
49,Phase2,0.01713538938201964,6374.24699911466,0.27516717957144443
50,Phase2,0.017361903795972466,6364.995715012681,0.2754861776489028
51,Phase3,0.017312419484369457,6270.794406001691,0.27870050358708653
52,Phase3,0.016335758729837835,6179.121262644196,0.2820708203177756
53,Phase3,0.017151292762719095,6085.899119729994,0.2856517270436365
54,Phase3,0.01678699383046478,5992.976454009818,0.289379727813716
55,Phase3,0.016221646568737924,5902.87053824914,0.2930843315448789
56,Phase3,0.015630669076927006,5816.299195669034,0.29679171661652787
57,Phase3,0.015684937359765172,5730.822905882616,0.3006441322369763
58,Phase3,0.01606892130803317,5646.865760775491,0.3045229407005014
59,Phase3,0.015188531950116158,5564.0080396839085,0.30835133265453474
60,Phase3,0.015710167470388114,5488.300204229867,0.3121505764135322
61,Phase3,0.015000236569903791,5418.277931552918,0.3156732891241963
62,Phase3,0.014617470791563392,5349.3398197554125,0.3193346718392746
63,Phase3,0.014873105916194618,5279.920095141052,0.32274917006954
64,Phase3,0.014495115727186203,5212.887941609587,0.3260733499658631
65,Phase3,0.014488054788671434,5148.306608758446,0.32948723034298655
66,Phase3,0.014320532558485866,5088.202133163571,0.33266108367056935
67,Phase3,0.014243632671423256,5030.93978219642,0.33574296113261215
68,Phase3,0.014035841217264533,4974.588263676367,0.33892906629969083
69,Phase3,0.013861093437299132,4920.166842067835,0.34177986207112687
70,Phase3,0.014471435570158064,4868.358709996873,0.3446929011349666
71,Phase3,0.013607991393655539,4819.499457357384,0.3475222446303298
72,Phase3,0.013790799304842949,4773.973941596912,0.3501507583216184
73,Phase3,0.013379278942011297,4730.718227436043,0.3527703102741243
74,Phase3,0.013630176079459488,4690.969000728438,0.3552061846413727
